p1	positive	yes	프론트가 급하대. MOI-701 API 스펙만 먼저 정의해줘
p2	positive	yes	방 목록 조회 API 계약 만들어줘, 모킹까지. 이슈 MOI-702
p3	positive	yes	MOI-703 와이어프레임 나왔어. Controller랑 DTO 스펙 잡아줘
p4	positive	yes	MOI-704 RestDocs 문서까지 포함해서 API 정의해줘
p5	positive	yes	프론트 병렬 작업용으로 MOI-705 목업 API 먼저 배포하자
n1	negative	no	MOI-706 구현해줘
n2	negative	no	MOI-707 만들어둔 서비스를 API에 연결해줘
n3	negative	no	새 PRD 나왔어. 엔티티 모델링부터 하자
n4	negative	no	openapi3.yaml 생성이 왜 실패하는지 봐줘
n5	negative	no	participation API 문서 어디서 보는지 알려줘
b1	boundary	boundary	MOI-708 API부터 만들고 구현까지 쭉 가자
b2	boundary	boundary	MOI-709 이 API 응답에 필드 하나 추가해줘
